source_file,json_path,title,year,num_scenes,avg_scene_chars,status,method,error
selected_transcripts2/Forgetting Sarah Marshall _2008_ - full transcript.txt,processed3_transcripts/forgetting-sarah-marshall-2008-full-transcript-txt.json,Forgetting Sarah Marshall,2008,15.0,2204.0,ok,punct_chunk_2200,
selected_transcripts2/Finding Nemo _2003_ - full transcript.txt,processed3_transcripts/finding-nemo-2003-full-transcript-txt.json,Finding Nemo,2003,21.0,2294.0,ok,punct_chunk_2200,
selected_transcripts2/Forrest Gump _1994_ - full transcript.txt,processed3_transcripts/forrest-gump-1994-full-transcript-txt.json,Forrest Gump,1994,27.0,2281.0,ok,punct_chunk_2200,
selected_transcripts2/Fight Club _1999_ - full transcript.txt,processed3_transcripts/fight-club-1999-full-transcript-txt.json,Fight Club,1999,33.0,2243.0,ok,punct_chunk_2200,
selected_transcripts2/Funny Games _2007_ - full transcript.txt,processed3_transcripts/funny-games-2007-full-transcript-txt.json,Funny Games,2007,17.0,2184.0,ok,punct_chunk_2200,
selected_transcripts2/Ghostbusters _1984_ - full transcript.txt,processed3_transcripts/ghostbusters-1984-full-transcript-txt.json,Ghostbusters,1984,21.0,2219.0,ok,punct_chunk_2200,
selected_transcripts2/Gladiator _1992_ - full transcript.txt,processed3_transcripts/gladiator-1992-full-transcript-txt.json,Gladiator,1992,18.0,2254.0,ok,punct_chunk_2200,
selected_transcripts2/Grave of the Fireflies _1988_ - full transcript.txt,processed3_transcripts/grave-of-the-fireflies-1988-full-transcript-txt.json,Grave of the Fireflies,1988,8.0,2094.0,ok,punct_chunk_2200,
selected_transcripts2/Gone Girl _2014_ - full transcript.txt,processed3_transcripts/gone-girl-2014-full-transcript-txt.json,Gone Girl,2014,36.0,2270.0,ok,punct_chunk_2200,
selected_transcripts2/Good Will Hunting _1997_ - full transcript.txt,processed3_transcripts/good-will-hunting-1997-full-transcript-txt.json,Good Will Hunting,1997,37.0,2272.0,ok,punct_chunk_2200,
selected_transcripts2/Groundhog Day _1993_ - full transcript.txt,processed3_transcripts/groundhog-day-1993-full-transcript-txt.json,Groundhog Day,1993,20.0,2300.0,ok,punct_chunk_2200,
selected_transcripts2/Guardians of the Galaxy _2014_ - full transcript.txt,processed3_transcripts/guardians-of-the-galaxy-2014-full-transcript-txt.json,Guardians of the Galaxy,2014,19.0,2269.0,ok,punct_chunk_2200,
selected_transcripts2/Hot Fuzz _2007_ - full transcript.txt,processed3_transcripts/hot-fuzz-2007-full-transcript-txt.json,Hot Fuzz,2007,5.0,2103.0,ok,punct_chunk_2200,
selected_transcripts2/Heat _1963_ - full transcript.txt,processed3_transcripts/heat-1963-full-transcript-txt.json,Heat,1963,9.0,2075.0,ok,punct_chunk_2200,
selected_transcripts2/I Spit on Your Grave _1978_ - full transcript.txt,processed3_transcripts/i-spit-on-your-grave-1978-full-transcript-txt.json,I Spit on Your Grave,1978,9.0,2076.0,ok,punct_chunk_2200,
selected_transcripts2/Inception _2010_ - full transcript.txt,processed3_transcripts/inception-2010-full-transcript-txt.json,Inception,2010,17.0,2210.0,ok,punct_chunk_2200,
selected_transcripts2/Into the Wild _2007_ - full transcript.txt,processed3_transcripts/into-the-wild-2007-full-transcript-txt.json,Into the Wild,2007,19.0,2252.0,ok,punct_chunk_2200,
selected_transcripts2/Inside Out _2005_ - full transcript.txt,processed3_transcripts/inside-out-2005-full-transcript-txt.json,Inside Out,2005,106.0,326.0,ok,headings_or_brackets,
selected_transcripts2/Irreversible _2002_ - full transcript.txt,processed3_transcripts/irreversible-2002-full-transcript-txt.json,Irreversible,2002,14.0,2284.0,ok,punct_chunk_2200,
selected_transcripts2/John Wick _2014_ - full transcript.txt,processed3_transcripts/john-wick-2014-full-transcript-txt.json,John Wick,2014,7.0,2108.0,ok,punct_chunk_2200,
selected_transcripts2/Interstellar _2014_ - full transcript.txt,processed3_transcripts/interstellar-2014-full-transcript-txt.json,Interstellar,2014,31.0,2249.0,ok,punct_chunk_2200,
